Date,USDJPY,EURJPY,GBPJPY,NZDJPY,AUDJPY,CHFJPY,CADJPY
2011/3/29,0.003818402,0.007748297,0.003015577,0.003550551,0.003848225,0.009944332,0.007231517
2011/3/30,0.007962341,0.010312538,0.009142228,0.015570499,0.013021192,0.003596552,0.011846332
2011/3/31,0.008967237,0.00963112,0.012978666,0.016712437,0.011874952,0.011062745,0.011825923
2011/4/1,0.002525544,0.005203986,0.00022451,0.001105321,0.003740942,0.001945126,0.004453062
2011/4/4,0.010316699,0.014954957,0.01573522,0.020504652,0.016510369,0.003551878,0.017093145
2011/4/5,-0.001068677,-0.001469304,-0.000537837,-0.002009227,-0.004454586,0.001681725,-0.005148209
2011/4/6,0.012243041,0.012273238,0.022759524,0.011770203,0.008019699,0.009096817,0.015984349
2011/4/7,0.001878769,0.010092667,0.00340136,0.01483242,0.013177921,0.010591551,0.005602751
2011/4/8,-0.004219421,-0.006704824,-0.004380925,-0.00340889,-0.001986187,-0.002410302,-0.002982711
2011/4/11,0.000941643,0.012413533,0.004349686,0.005493908,0.011312529,0.008801661,0.004199605
2011/4/12,-0.004821308,-0.006553485,-0.006607614,-0.003552291,-0.010852001,-0.002106355,-0.00493528
2011/4/13,-0.012170614,-0.009633187,-0.017561624,-0.009728052,-0.017069944,-0.001317929,-0.018743055
2011/4/14,0.002188983,-4.13E-05,0.003039313,0.006071176,0.006490916,0.00310068,0.001681028
2011/4/15,-0.002864507,-0.003603306,-0.002270021,0.00222728,-0.000238831,-0.002770234,-0.000149425
2011/4/18,-0.004740038,-0.006038295,-0.002548718,0.002422085,-0.000887393,-0.001244122,-0.004678837
2011/4/19,-0.009777899,-0.022956374,-0.013056605,-0.023513061,-0.017194088,-0.0131766,-0.014322083
2011/4/20,0.002987854,0.011111611,0.006685621,0.006753875,0.00775111,-0.000696419,0.012163136
2011/4/21,-0.001695326,0.010592443,0.002545194,0.00707705,0.012022304,0.010051258,0.001296626
2011/4/22,-0.006586596,-0.003953519,0.000791915,-0.00022864,-0.000355612,-0.003897447,-0.006763776
2011/4/25,-0.000329682,0.000109091,0.000332796,0.001326472,0.000745479,0.000297606,-0.000291042
2011/4/26,-0.00036652,0.001132757,-0.001552506,-0.003075785,-0.003315921,0.004977375,-0.001373964
2011/4/27,-0.004019966,0.003310539,-0.003398741,0.004689084,0.002073637,0.008107399,-0.000373102
2011/4/28,0.00850192,0.01467717,0.015521023,0.002189136,0.013928437,0.003131495,0.007581873
2011/4/29,-0.008199151,-0.00384469,-0.007170003,-0.006371136,-0.000149212,-0.00565242,-0.00706182
2011/5/2,-0.003716448,-0.006495893,-0.000957922,0.001633568,-0.001807873,0.004782923,0.001049365
2011/5/3,-0.000578588,0.000989926,-0.002729291,-0.003673353,-0.002365189,6.40E-05,-0.006429094
2011/5/4,-0.002599138,-0.00193631,-0.012218883,-0.01069326,-0.010699459,0.001534397,-0.003856649
2011/5/5,-0.00406332,-0.004096553,-0.004103423,-0.011473828,-0.013547291,-0.003585467,-0.010108298
2011/5/6,-0.002765365,-0.0223062,-0.009533872,-0.009651587,-0.015810767,-0.013379155,-0.010675261
2011/5/9,0.003941965,-0.009577578,0.001981303,0.00647607,0.014235507,-0.00568184,0.005671577
2011/5/10,-0.006094136,-0.004118442,-0.00243194,-0.002087241,0.001750387,0.002383695,-0.005101943
2011/5/11,0.009583573,0.011764866,0.006971862,0.013005787,0.013787171,-0.000716681,0.016609269
2011/5/12,-1.23E-05,-0.01344473,-0.000173429,-0.00513865,-0.012135634,-0.006606707,-0.003898429
2011/5/13,0.000370312,0.002145391,-0.00482774,0.004010362,-0.004771026,0.002154879,-0.0024905
2011/5/16,-0.002751728,-0.01404942,-0.009194456,-0.013848229,-0.012297406,-0.012519467,-0.009035822
2011/5/17,-0.000433114,0.005212813,0.001376991,-0.007108071,0.000961336,0.009152161,-0.006262688
2011/5/18,0.007910178,0.015846131,0.010779685,0.01630212,0.014234037,0.01469914,0.011372893
2011/5/19,0.002947704,0.00211768,-0.002630226,0.006497462,0.002017407,1.08E-05,0.005097314
2011/5/20,0.000648951,0.00488798,0.004872837,0.002979485,0.0046099,0.000617405,0.003479922
2011/5/23,0.000318195,-0.014353249,-0.000701373,0.002274318,-0.004129861,0.003687289,-0.00804829
2011/5/24,0.002654796,-0.00235907,-0.004007381,-0.001389271,-0.008409124,-0.003794121,0
2011/5/25,0.00111029,0.00562478,0.005940451,0.011052666,0.005576162,0.005826071,0.002243205
2011/5/26,-0.000316815,-0.001383184,0.005551364,-4.59E-05,-0.00194085,0.007862551,-0.001428641
2011/5/27,-0.009168345,-0.005843524,-0.00297376,0.004953946,-0.000844963,-0.000883355,-0.010801378
2011/5/30,-0.005401698,0.006287126,0.002253854,0.005842483,0.00244441,0.012069016,-0.004242359
2011/5/31,0.000606154,0.001990334,-0.000599603,0.000378173,-0.000346689,0.000452573,0.001694493
2011/6/1,0.007084644,0.014863123,0.005625562,0.015952218,0.005202277,0.004344965,0.01655383
2011/6/2,-0.006862927,-0.012594599,-0.014619273,-0.018470084,-0.010741783,0.006489221,-0.01640315
2011/6/3,0.000939551,0.010755755,0.00254332,-3.03E-05,0.003999279,-0.000431949,0.003021148
2011/6/6,-0.00926269,0.002259569,-0.00366936,-0.00689951,-0.001875903,0.000718421,-0.011060229
2011/6/7,-0.001246547,-0.006074296,-0.00704765,-0.004000397,-0.00345711,-0.001695941,-0.00428837
2011/6/8,0.000624001,0.007883223,0.005823094,0.009121477,0.00017461,-0.001667494,0.006460296
